Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-10-26,731.119995,103.769997,103.040001,608.609985,57.076641,146.421234,63.68,29.654314,65.96537,95.521523
2015-10-27,732.820007,103.699997,103.07,611.01001,55.733097,147.383499,63.02,29.363396,66.272011,95.89415
2015-10-28,736.919983,104.199997,105.800003,617.099976,56.216393,147.383499,63.959999,29.489456,66.434914,95.70784
2015-10-29,744.849976,104.879997,105.120003,626.549988,55.75243,147.869293,64.860001,29.722195,64.202209,95.763733
2015-10-30,737.390015,101.970001,108.379997,625.900024,57.637264,147.719803,65.489998,29.945232,64.077644,95.19548
2015-11-02,747.73999,103.309998,107.639999,628.349976,57.946568,148.682068,66.220001,30.168268,63.885994,94.459557
2015-11-03,748.820007,102.580002,109.739998,625.309998,59.270786,148.355103,67.550003,30.546463,63.368542,94.012413
2015-11-04,755.309998,103.940002,114.050003,640.950012,58.217213,146.813629,67.160004,28.994896,62.209064,93.732948
2015-11-05,760.669983,108.760002,113.5,655.650024,58.903477,145.991516,67.709999,28.975502,59.851791,93.72364
2015-11-06,761.599976,107.099998,114.059998,659.369995,59.203125,147.187302,67.970001,29.169449,57.245377,92.894547
2015-11-09,754.77002,106.489998,109.860001,655.48999,58.101219,144.954498,67.610001,28.800953,58.395264,92.112038
2015-11-10,758.26001,107.910004,112.699997,659.679993,57.55994,146.499939,67.849998,29.411882,57.130386,92.065468
2015-11-11,765.25,109.010002,112.860001,673.25,55.143478,146.481232,66.5,29.421579,57.734077,92.624397
2015-11-12,756.530029,108.019997,108.919998,665.599976,54.77618,146.115952,66.57,29.440973,57.437019,91.63694
2015-11-13,740.070007,103.949997,103.650002,642.349976,51.741116,143.933548,62.209999,29.111267,57.571178,91.329536
2015-11-16,750.419983,104.040001,111.349998,647.809998,51.576801,146.53743,62.790001,29.683405,58.443176,92.745491
2015-11-17,745.97998,105.129997,117.099998,643.299988,51.296486,148.822815,64.230003,29.508854,56.919575,92.065468
2015-11-18,760.01001,107.769997,120.629997,663.539978,52.282402,151.03331,66.629997,29.702799,58.883968,93.406898
2015-11-19,759.940002,106.260002,120.220001,661.27002,52.011761,152.513214,67.160004,29.402184,58.931877,94.021721
2015-11-20,777,107.32,123.839996,668.450012,51.82811,152.766068,68.419998,29.615522,57.322033,93.248535
2015-11-23,776.700012,106.949997,125.029999,678.98999,51.122498,153.093933,69.550003,29.460367,57.034561,93.947197
2015-11-24,769.630005,105.739998,123.309998,671.150024,52.321068,151.913742,74.160004,29.334301,58.94146,93.742264
2015-11-25,769.26001,105.410004,124.160004,675.340027,53.287643,152.101044,74.93,29.402184,57.85865,93.621147
2015-11-27,771.969971,105.449997,125.440002,673.26001,53.577621,153.215683,75.080002,28.994896,57.667004,93.844727
