Date,GOOGL,FB,NFLX,AMZN
2017-03-08,853.640015,137.720001,140.320007,850.5
2017-03-09,857.840027,138.240005,140.529999,853
2017-03-10,861.409973,138.789993,140.889999,852.460022
2017-03-13,864.580017,139.600006,143.520004,854.590027
2017-03-14,865.909973,139.320007,143.190002,852.530029
2017-03-15,868.390015,139.720001,145.25,852.969971
2017-03-16,870,139.990005,144.389999,853.419983
2017-03-17,872.369995,139.839996,145.110001,852.309998
2017-03-20,867.909973,139.940002,145.830002,856.969971
2017-03-21,850.140015,138.509995,142.419998,843.200012
2017-03-22,849.799988,139.589996,142.649994,848.059998
2017-03-23,839.650024,139.529999,141.839996,847.380005
2017-03-24,835.140015,140.339996,142.020004,845.609985
2017-03-27,838.51001,140.320007,144.059998,846.820007
2017-03-28,840.630005,141.759995,145.169998,856
2017-03-29,849.869995,142.649994,146.470001,874.320007
2017-03-30,849.47998,142.410004,148.059998,876.340027
2017-03-31,847.799988,142.050003,147.809998,886.539978
2017-04-03,856.75,142.279999,146.919998,891.51001
2017-04-04,852.570007,141.729996,145.5,906.830017
2017-04-05,848.909973,141.850006,143.619995,909.280029
2017-04-06,845.099976,141.169998,143.740005,898.280029
2017-04-07,842.099976,140.779999,143.110001,894.880005
2017-04-10,841.700012,141.039993,143.850006,907.039978
2017-04-11,839.880005,139.919998,144.350006,902.359985
2017-04-12,841.460022,139.580002,143.830002,896.22998
2017-04-13,840.179993,139.389999,142.919998,884.669983
2017-04-17,855.130005,141.419998,147.25,901.98999
2017-04-18,853.98999,140.960007,143.360001,903.780029
2017-04-19,856.51001,142.270004,139.759995,899.200012
2017-04-20,860.080017,143.800003,141.179993,902.059998
2017-04-21,858.950012,143.679993,142.869995,898.530029
2017-04-24,878.929993,145.470001,143.830002,907.409973
2017-04-25,888.840027,146.490005,152.160004,907.619995
2017-04-26,889.140015,146.559998,150.169998,909.289978
